record_type,record_id,flag,detail,amount
order,ORD-002524,outlier_order_amount,$407.65 is well above the Paid Search normal range (upper fence $373.87),407.65
order,ORD-003368,outlier_order_amount,"$2,040.53 is well above the Organic/Direct normal range (upper fence $391.92)",2040.53
order,ORD-003710,outlier_order_amount,$714.42 is well above the Paid Search normal range (upper fence $373.87),714.42
order,ORD-005203,outlier_order_amount,"$1,208.58 is well above the Organic/Direct normal range (upper fence $391.92)",1208.58
order,ORD-005898,outlier_order_amount,$548.23 is well above the Affiliate normal range (upper fence $368.56),548.23
order,ORD-006280,outlier_order_amount,$890.78 is well above the Paid Social normal range (upper fence $314.99),890.78
order,ORD-006286,outlier_order_amount,$390.07 is well above the Email normal range (upper fence $347.45),390.07
order,ORD-006653,outlier_order_amount,$428.06 is well above the Affiliate normal range (upper fence $368.56),428.06
order,ORD-007195,outlier_order_amount,$485.91 is well above the Organic/Direct normal range (upper fence $391.92),485.91
order,ORD-007220,outlier_order_amount,$386.91 is well above the Affiliate normal range (upper fence $368.56),386.91
order,ORD-007857,outlier_order_amount,$857.29 is well above the Email normal range (upper fence $347.45),857.29
order,ORD-008561,outlier_order_amount,$593.18 is well above the Email normal range (upper fence $347.45),593.18
order,ORD-008733,outlier_order_amount,$460.71 is well above the Organic/Direct normal range (upper fence $391.92),460.71
order,ORD-009157,outlier_order_amount,$394.98 is well above the Affiliate normal range (upper fence $368.56),394.98
order,ORD-010168,outlier_order_amount,"$1,241.21 is well above the Organic/Direct normal range (upper fence $391.92)",1241.21
order,ORD-010538,outlier_order_amount,"$1,220.47 is well above the Organic/Direct normal range (upper fence $391.92)",1220.47
order,ORD-011697,outlier_order_amount,$393.07 is well above the Organic/Direct normal range (upper fence $391.92),393.07
order,ORD-012341,outlier_order_amount,$403.40 is well above the Email normal range (upper fence $347.45),403.4
order,ORD-014493,outlier_order_amount,$370.71 is well above the Email normal range (upper fence $347.45),370.71
order,ORD-014948,outlier_order_amount,$397.88 is well above the Organic/Direct normal range (upper fence $391.92),397.88
order,ORD-016028,outlier_order_amount,$489.34 is well above the Organic/Direct normal range (upper fence $391.92),489.34
order,ORD-000428,post_campaign_attribution,"Order dated 2025-03-04 is attributed to CMP-0014, which ended 2025-02-28",93.85
order,ORD-014873,post_campaign_attribution,"Order dated 2025-03-11 is attributed to CMP-0010, which ended 2025-02-28",101.92
order,ORD-002539,post_campaign_attribution,"Order dated 2025-05-04 is attributed to CMP-0026, which ended 2025-04-30",126.2
order,ORD-005443,post_campaign_attribution,"Order dated 2025-07-14 is attributed to CMP-0038, which ended 2025-06-30",125.55
order,ORD-007257,post_campaign_attribution,"Order dated 2025-08-04 is attributed to CMP-0047, which ended 2025-07-31",58.79
order,ORD-001880,post_campaign_attribution,"Order dated 2025-11-09 is attributed to CMP-0064, which ended 2025-10-31",58.13
order,ORD-011318,post_campaign_attribution,"Order dated 2025-12-05 is attributed to CMP-0071, which ended 2025-11-30",133.82
order,ORD-007298,post_campaign_attribution,"Order dated 2026-01-13 is attributed to CMP-0081, which ended 2025-12-31",84.59
order,ORD-002084,repeat_chargeback_customer,CUST-01771 has 2 chargebacks in the period,54.09
order,ORD-007295,repeat_chargeback_customer,CUST-01771 has 2 chargebacks in the period,78.66
order,ORD-ABUSE13873,repeated_refund_pattern,CUST-01387 has 3+ refunds of exactly $86.22 — possible refund abuse,86.22
order,ORD-ABUSE25433,repeated_refund_pattern,CUST-02543 has 3+ refunds of exactly $82.40 — possible refund abuse,82.4
order,ORD-ABUSE26720,repeated_refund_pattern,CUST-02672 has 3+ refunds of exactly $65.64 — possible refund abuse,65.64
order,ORD-ABUSE13872,repeated_refund_pattern,CUST-01387 has 3+ refunds of exactly $86.22 — possible refund abuse,86.22
order,ORD-ABUSE13871,repeated_refund_pattern,CUST-01387 has 3+ refunds of exactly $86.22 — possible refund abuse,86.22
order,ORD-ABUSE13870,repeated_refund_pattern,CUST-01387 has 3+ refunds of exactly $86.22 — possible refund abuse,86.22
order,ORD-ABUSE25430,repeated_refund_pattern,CUST-02543 has 3+ refunds of exactly $82.40 — possible refund abuse,82.4
order,ORD-ABUSE05472,repeated_refund_pattern,CUST-00547 has 3+ refunds of exactly $73.31 — possible refund abuse,73.31
order,ORD-ABUSE05471,repeated_refund_pattern,CUST-00547 has 3+ refunds of exactly $73.31 — possible refund abuse,73.31
order,ORD-ABUSE25432,repeated_refund_pattern,CUST-02543 has 3+ refunds of exactly $82.40 — possible refund abuse,82.4
order,ORD-ABUSE26723,repeated_refund_pattern,CUST-02672 has 3+ refunds of exactly $65.64 — possible refund abuse,65.64
order,ORD-ABUSE26722,repeated_refund_pattern,CUST-02672 has 3+ refunds of exactly $65.64 — possible refund abuse,65.64
order,ORD-ABUSE25431,repeated_refund_pattern,CUST-02543 has 3+ refunds of exactly $82.40 — possible refund abuse,82.4
order,ORD-ABUSE05470,repeated_refund_pattern,CUST-00547 has 3+ refunds of exactly $73.31 — possible refund abuse,73.31
order,ORD-ABUSE05473,repeated_refund_pattern,CUST-00547 has 3+ refunds of exactly $73.31 — possible refund abuse,73.31
order,ORD-ABUSE26721,repeated_refund_pattern,CUST-02672 has 3+ refunds of exactly $65.64 — possible refund abuse,65.64
spend_day,Affiliate|2025-01-03,wasted_spend_no_orders,$244.81 spent on Affiliate on 2025-01-03 produced zero orders,244.81
spend_day,Affiliate|2025-03-01,wasted_spend_no_orders,$210.91 spent on Affiliate on 2025-03-01 produced zero orders,210.91
spend_day,Affiliate|2025-05-16,wasted_spend_no_orders,$254.72 spent on Affiliate on 2025-05-16 produced zero orders,254.72
spend_day,Display|2025-01-16,wasted_spend_no_orders,$506.90 spent on Display on 2025-01-16 produced zero orders,506.9
spend_day,Display|2025-03-11,wasted_spend_no_orders,$487.96 spent on Display on 2025-03-11 produced zero orders,487.96
spend_day,Display|2025-03-28,wasted_spend_no_orders,$493.59 spent on Display on 2025-03-28 produced zero orders,493.59
spend_day,Display|2025-05-14,wasted_spend_no_orders,$254.02 spent on Display on 2025-05-14 produced zero orders,254.02
spend_day,Display|2025-05-23,wasted_spend_no_orders,$383.95 spent on Display on 2025-05-23 produced zero orders,383.95
spend_day,Display|2025-06-17,wasted_spend_no_orders,$388.56 spent on Display on 2025-06-17 produced zero orders,388.56
spend_day,Display|2025-06-25,wasted_spend_no_orders,$325.87 spent on Display on 2025-06-25 produced zero orders,325.87
spend_day,Display|2025-07-30,wasted_spend_no_orders,$219.96 spent on Display on 2025-07-30 produced zero orders,219.96
spend_day,Display|2025-09-23,wasted_spend_no_orders,$296.05 spent on Display on 2025-09-23 produced zero orders,296.05
spend_day,Display|2025-09-25,wasted_spend_no_orders,$431.01 spent on Display on 2025-09-25 produced zero orders,431.01
spend_day,Display|2025-10-14,wasted_spend_no_orders,$397.02 spent on Display on 2025-10-14 produced zero orders,397.02
spend_day,Display|2025-10-31,wasted_spend_no_orders,$397.97 spent on Display on 2025-10-31 produced zero orders,397.97
spend_day,Display|2025-11-04,wasted_spend_no_orders,$404.39 spent on Display on 2025-11-04 produced zero orders,404.39
spend_day,Display|2025-11-06,wasted_spend_no_orders,$362.42 spent on Display on 2025-11-06 produced zero orders,362.42
spend_day,Display|2025-12-18,wasted_spend_no_orders,$355.86 spent on Display on 2025-12-18 produced zero orders,355.86
